modal,regiao,endereco_retirada,data_hora
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-04 11:16:58.567
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-12-04 12:18:02.383
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-12-04 12:27:06.551
BICYCLE,NOVA IGUACU,"Avenida Monte Libano, 35, Parque Ulisses, NOVA IGUACU, Brazil",2020-12-04 13:24:01.898
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-12-04 15:49:21.800
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-12-04 15:51:02.446
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-06 16:41:27.130
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-06 16:47:31.578
BICYCLE,NOVA IGUACU,"Rua Marcelino Lópes, 231, Andrade Araujo, BELFORD ROXO, Brazil",2020-12-06 17:54:17.939
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-06 18:43:42.235
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-06 19:10:23.821
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-06 19:19:33.298
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-12-08 09:34:20.810
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-12-08 18:15:28.783
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-08 20:30:58.730
BICYCLE,NOVA IGUACU,"RUA LUIS SOBRAL, 69, MARIA DA LUZ, NOVA IGUACU, Brazil",2020-12-08 21:27:11.060
BICYCLE,NOVA IGUACU,"av monte libano, 245, MONTE LIBANO, NOVA IGUACU, Brazil",2020-12-10 19:50:45.525
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-12 18:16:37.399
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-12 18:30:30.080
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-12 19:48:30.502
BICYCLE,NOVA IGUACU,"RUA LUIS SOBRAL, 69, MARIA DA LUZ, NOVA IGUACU, Brazil",2020-12-12 19:49:00.733
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-12 20:59:13.924
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-12 21:00:11.899
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-13 20:27:29.146
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-13 20:34:13.653
BICYCLE,NOVA IGUACU,"R. Morgado, 70, CENTRO, BELFORD ROXO, Brazil",2020-12-19 20:40:09.009
BICYCLE,NOVA IGUACU,"Estr. Geral, 196, SANTO ANTONIO DA PRATA, BELFORD ROXO, Brazil",2020-12-19 21:13:21.698
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-20 20:10:47.679
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-20 20:47:54.757
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-21 18:33:45.511
BICYCLE,NOVA IGUACU,"Rua Rosa Pires, 398, Santo Antônio da Prata, BELFORD ROXO, Brazil",2020-12-23 11:40:09.361
BICYCLE,NOVA IGUACU,"Rua Maria Leopoldina, 615, Prata, NOVA IGUACU, Brazil",2020-12-24 12:22:14.985
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-24 14:03:17.750
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-24 15:51:19.603
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-24 16:38:44.387
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-24 17:08:35.900
