artista,musica,tempo,data
Rappin' Hood,Rap du Bom Parte II - Mús. Incid.: Odara,435141,2021-03-10 23:31:00
Flora Matos,Preta de Quebrada,2746,2021-03-10 23:33:00
MV Bill,O Soldado Que Fica,140032,2021-03-10 23:33:00
RZO,O Trem,3615,2021-03-10 23:33:00
Emicida,Levanta e Anda,2205,2021-03-10 23:34:00
Haikaiss,Raplord,1740,2021-03-10 23:34:00
BNegão,Enxugando Gelo,18673,2021-03-10 23:34:00
Karol Conká,Boa Noite,6712,2021-03-10 23:34:00
Rodrigo Ogi,Profissão Perigo,168698,2021-03-10 23:37:00
Sombra,Homem Sem Face,80209,2021-03-10 23:38:00
Kamau,Só,201280,2021-03-10 23:41:00
Sabotage,Canão Foi Tão Bom,330799,2021-03-10 23:47:00
Helião,Periferia / Sample: Fim De Semana No Parque,16589,2021-03-10 23:47:00
Pentagono,O Q?,14505,2021-03-10 23:48:00
Helião,Periferia / Sample: Fim De Semana No Parque,1965,2021-03-10 23:48:00
Pentagono,O Q?,252480,2021-03-10 23:52:00
Black Alien,Rolo Compressor,27761,2021-03-10 23:53:00
BK,Castelos & Ruínas,249490,2021-03-10 23:57:00
Djonga,O Mundo é Nosso,223888,2021-03-11 00:00:00
Projota,Elas Gostam Assim,20004,2021-03-11 00:01:00
Karol Conká,Tombei,1669,2021-03-11 00:01:00
Instituto,Cabeça de Nêgo,3185,2021-03-11 00:01:00
Flora Matos,"Pretin (Verão, Pt. 1)",1371,2021-03-11 00:01:00
Lurdez Da Luz,Andei,2845,2021-03-11 00:01:00
Don L,Eu Não Te Amo,291243,2021-03-11 00:06:00
ConeCrewDiretoria,Chama os mulekes,353532,2021-03-11 00:12:00
Sabotage,Respeito É pra Quem Tem,1908,2021-03-11 00:18:00
Trilha Sonora do Gueto,Favela Sinistra,7015,2021-03-11 00:18:00
MV Bill,Rapstência,1296,2021-03-11 00:18:00
GOG,O Amor Venceu a Guerra,1616,2021-03-11 00:18:00
Racionais MC's,Diário de um Detento,1488,2021-03-11 00:18:00
Dexter,Eu Sô Função,384155,2021-03-11 00:18:00
Black Alien,Como Eu Te Quero,1509,2021-03-11 00:19:00
Parteum,Raciocínio Quebrado,58035,2021-03-11 00:19:00
Gabriel O Pensador,Retrato de um Playboy (Juventude Perdida),58742,2021-03-11 00:20:00
Thaíde & DJ Hum,Sr. Tempo Bom,1644,2021-03-11 00:25:00
Mamelo Sound System,Vô – Q – Vô,19763,2021-03-11 00:25:00
Somos Nós A Justiça,Se Tu Lutas Tu Conquistas,1964,2021-03-11 00:25:00
Rappin' Hood,Zé Brasileiro,267210,2021-03-11 00:25:00
Mano Brown,Mulher Elétrica,2979,2021-03-11 00:25:00
Kamau,Entre,2325,2021-03-11 00:26:00
Racionais MC's,"Capítulo 4, Versículo 3",1142,2021-03-11 00:26:00
Somos Nós A Justiça,Se Tu Lutas Tu Conquistas,1753,2021-03-11 00:26:00
Mano Brown,Mulher Elétrica,5031,2021-03-11 00:26:00
Consciência Humana,Lei da Periferia,1906,2021-03-11 00:26:00
Rashid,E Se,273320,2021-03-11 00:30:00
Mc Marechal,Primeiro de Abril,249289,2021-03-11 00:34:00
Xis,Us Mano e as Mina,7358,2021-03-11 00:35:00
Xis,Us Mano e as Mina,2829,2021-05-06 20:20:00
Ndee Naldinho,O 5° Vigia,5880,2021-05-06 20:21:00
Realidade Cruel,Depoimento de um Viciado,579,2021-05-09 09:37:00
LEALL,Pedras Amarelas,137865,2021-05-09 09:39:00
Fleezus,City Runners (feat. Kyan),166474,2021-05-09 09:42:00
Derxan,Didier Droga & Ba,141994,2021-05-09 09:44:00
LEALL,Pedras Amarelas,89314,2021-05-09 09:46:00
LEALL,Pedras Amarelas,137865,2021-05-09 09:48:00
Fleezus,City Runners (feat. Kyan),166474,2021-05-09 09:51:00
Derxan,Didier Droga & Ba,159464,2021-05-09 09:53:00
Dropallien,Alotrópico,148734,2021-05-09 09:56:00
VND,Bandido Chique,150857,2021-05-09 09:58:00
SD9,Nigéria 96,296142,2021-05-09 10:03:00
Thxuzz,Plantão,171428,2021-05-09 10:06:00
Jean Tassy,Hoje à Noite,194410,2021-05-09 10:09:00
Fleezus,Revolta,196986,2021-05-09 10:13:00
Febem,CRIME,188330,2021-05-09 10:16:00
LEALL,Cadeia ou Morte?,140571,2021-05-09 10:18:00
Bruxo 021,Nota de 200,193961,2021-05-09 10:22:00
Kyan,Menor Magrinho,152169,2021-05-09 10:24:00
KBrum,Ali Baba,193874,2021-05-09 10:27:00
Derxan,El Chapo,175273,2021-05-09 10:30:00
Febem,OG,141360,2021-05-09 10:33:00
SD9,40°.40,196000,2021-05-09 10:36:00
VND,Mano Você É Playboy,208000,2021-05-09 10:39:00
LEALL,Cadeia ou Morte?,0,2021-05-09 10:40:00
Bruxo 021,Nota de 200,0,2021-05-09 10:40:00
Dropallien,Alotrópico,0,2021-05-09 10:40:00
KBrum,Ali Baba,0,2021-05-09 10:40:00
Thxuzz,Plantão,0,2021-05-09 10:40:00
SD9,40°.40,0,2021-05-09 10:40:00
Febem,CRIME,0,2021-05-09 10:40:00
Derxan,El Chapo,0,2021-05-09 10:40:00
Putodiparis,Lacroc,36048,2021-05-09 10:40:00
VND,Bandido Chique,0,2021-05-09 10:40:00
LEALL,Pedras Amarelas,0,2021-05-09 10:40:00
SD9,Nigéria 96,0,2021-05-09 10:40:00
Fleezus,Revolta,0,2021-05-09 10:40:00
Fleezus,City Runners (feat. Kyan),0,2021-05-09 10:40:00
Febem,OG,0,2021-05-09 10:40:00
Kyan,Menor Magrinho,0,2021-05-09 10:40:00
VND,Mano Você É Playboy,0,2021-05-09 10:40:00
Derxan,Didier Droga & Ba,0,2021-05-09 10:40:00
Jean Tassy,Hoje à Noite,0,2021-05-09 10:40:00
Febem,TRACKSUIT,194818,2021-05-09 10:44:00
LEALL,Pedras Amarelas,137865,2021-05-09 10:46:00
Fleezus,City Runners (feat. Kyan),166474,2021-05-09 10:49:00
Derxan,Didier Droga & Ba,159464,2021-05-09 10:51:00
Dropallien,Alotrópico,109834,2021-05-09 10:53:00
Febem,TRACKSUIT,1412,2021-05-09 15:38:00
Febem,TRACKSUIT,159470,2021-05-09 15:41:00
Dj Guuga,"Volta Bebê, Volta Neném",172972,2021-05-09 15:44:00
Matheus Fernandes,Baby Me Atende,225671,2021-05-09 15:48:00
Xand Avião,Não Pode Se Apaixonar,170000,2021-05-09 15:50:00
Zé Vaqueiro,Volta Comigo BB,10077,2021-05-09 15:51:00
Os Barões Da Pisadinha,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,147875,2021-05-09 15:53:00
Vitor Fernandes,Acaso,200890,2021-05-09 15:56:00
Th CDM,Preta do Cabelo Cacheado,118353,2021-05-09 15:58:00
Nadson O Ferinha,Na Ponta do Pé - Brega Funk,29353,2021-05-09 15:59:00
Xand Avião,Ela Aperta a Minha Mente,155014,2021-05-09 16:02:00
Malibu,Onde Você Mora,253354,2021-05-09 16:06:00
Papatinho,Final de Semana,201682,2021-05-09 16:10:00
Malibu,Cigana,265753,2021-05-09 16:14:00
Luísa Sonza,Cansar Você,176298,2021-05-09 16:17:00
ANAVITÓRIA,"Amarelo, azul e branco",201452,2021-05-09 16:21:00
Carol Biazin,Rolê,25833,2021-05-09 16:21:00
Stefan,Cinco Minutos,565785,2021-05-09 16:30:00
LUDMILLA,Gato Siamês,195428,2021-05-09 16:34:00
L7NNON,DA BOCA,23536,2021-05-09 16:37:00
Stefan,MASHUP 'OS MENINU' II: Direito De Te Amar / Meiga E Abusada / Solução / Para / Ela Vem,193674,2021-05-09 16:37:00
Stefan,Cinco Minutos,10536,2021-05-09 16:38:00
Lexa,Quase Lá (feat. Sorriso Maroto),160661,2021-05-09 16:41:00
Malía,FLOW,49980,2021-05-09 16:42:00
Mc Livinho,Pilantragem,212625,2021-05-09 16:46:00
A Banca Records,Outro Dia,232524,2021-05-09 16:50:00
Kawe,Mds,125142,2021-05-09 16:52:00
Mc Livinho,Você É Gostosa,84108,2021-05-09 16:53:00
Mc Livinho,Pressentimento,230295,2021-05-09 16:57:00
Gaab,Tem Café,262687,2021-05-09 17:02:00
Mc Livinho,Irmã Gostosa,17106,2021-05-09 17:03:00
DENNIS,Deixa de Onda (Porra Nenhuma),184999,2021-05-09 17:06:00
LUDMILLA,Rainha da Favela,160904,2021-05-09 17:08:00
Pineapple StormTv,Poesia Acústica 10: Recomeçar,1099,2021-05-09 17:09:00
Israel & Rodolffo,Batom de Cereja - Ao Vivo,140942,2021-05-09 17:27:00
Dj Guuga,"Volta Bebê, Volta Neném",172972,2021-05-09 17:30:00
Alok,Liberdade (Quando o Grave Bate Forte),11891,2021-05-09 17:32:00
Malu,Disco Arranhado - Funk Remix,2807,2021-05-09 17:32:00
Mc Davi,Bipolar,92880,2021-05-09 17:32:00
MC Kevin o Chris,Tipo Gin - Ao Vivo,159146,2021-05-09 17:35:00
Raí Saia Rodada,Tapão Na Raba,175046,2021-05-09 17:38:00
Jorge & Mateus,Paradigmas,157354,2021-05-09 17:40:00
Os Barões Da Pisadinha,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,147875,2021-05-09 17:43:00
Diego & Victor Hugo,Facas - Ao Vivo,115439,2021-05-09 17:45:00
Fernando & Sorocaba,Só Não Divulga,12317,2021-05-09 17:45:00
Wesley Safadão,"Ele É Ele, Eu Sou Eu",155209,2021-05-09 17:47:00
Mc Poze do Rodo,Vida Louca,155675,2021-05-09 17:50:00
Xand Avião,Não Pode Se Apaixonar,21197,2021-05-09 17:50:00
Raí Saia Rodada,Tapão Na Raba,10993,2021-05-09 17:52:00
Niack,Oh Juliana,153077,2021-05-09 17:55:00
MC Ryan SP,Revoada do Tubarão,2849,2021-05-09 17:56:00
MC Paulin da Capital,Os Mandrake Curte a Vida,3039,2021-05-09 17:56:00
MC Hariel,Avisa que é o Funk,4654,2021-05-09 17:56:00
Mc Talibã,Um Sabadão Desse Uma Lua Dessa,52747,2021-05-09 17:56:00
Sr. Nescau,"Beat Imatur0 - Eu gosto de você, tchau (Funk Remix)",4357,2021-05-09 17:56:00
Tília,Aquecimento da Tília,1899,2021-05-09 17:56:00
MC Marks,Deus é por nós,2945,2021-05-09 17:56:00
Luísa Sonza,BRABA,129782,2021-05-09 17:58:00
Mc Zaac,Desce Pro Play (PA PA PA),168507,2021-05-09 18:01:00
Niack,Na Raba Toma Tapão,164697,2021-05-09 18:16:00
509-E,Oitavo Anjo,17148,2021-05-09 18:16:00
MV Bill,Soldado do Morro,4352,2021-05-09 18:16:00
Dexter,Eu Sô Função,2295,2021-05-09 18:16:00
Mc Marechal,Primeiro de Abril,249289,2021-05-09 18:20:00
ADL,Favela Vive 2,9895,2021-05-09 18:20:00
BK,Top Boys,193834,2021-05-09 18:24:00
Racionais MC's,"Vida Loka, Pt. 1",2474,2021-05-09 18:24:00
Djonga,ETERNO,16681,2021-05-09 18:24:00
Planet Hemp,Mantenha o Respeito,1611,2021-05-09 18:27:00
Pentagono,É o Moio,173584,2021-05-09 18:27:00
Rappin' Hood,Rap du Bom Parte II - Mús. Incid.: Odara,19940,2021-05-09 18:27:00
Rashid,E Se,273320,2021-05-09 18:32:00
Sabotage,Canão Foi Tão Bom,47978,2021-05-09 18:33:00
Criolo,Subirusdoistiozin,213573,2021-05-09 18:36:00
Froid,Flow de Lázaro,157846,2021-05-09 18:39:00
Rincon Sapiência,Ponta de Lança (Verso Livre),4093,2021-05-09 18:45:00
MV Bill,L. Gelada - 3 da Madrugada,359053,2021-05-09 18:45:00
Don L,Beira de Piscina (Remix),45606,2021-05-09 18:46:00
Rodrigo Ogi,Profissão Perigo,168698,2021-05-09 18:48:00
Gabriel O Pensador,Linhas Tortas,37149,2021-05-09 18:49:00
Racionais MC's,Da Ponte pra Cá,2091,2021-05-09 18:49:00
BK,Castelos & Ruínas,249490,2021-05-09 18:53:00
509-E,Uh Barato É Louco,19900,2021-05-09 18:54:00
Djonga,Esquimó,4318,2021-05-09 20:36:00
509-E,Uh Barato É Louco,5820,2021-05-09 20:36:00
Marcelo D2,Desabafo / Deixa Eu Dizer,169570,2021-05-09 20:39:00
Kamau,Só,201280,2021-05-09 20:42:00
RZO,O Mensageiro,19286,2021-05-09 20:42:00
Pentagono,O Q?,1429,2021-05-09 20:42:00
Eloy Polemico,Ouro de Tolo,3109,2021-05-09 20:42:00
MV Bill,Estilo Vagabundo 3,1510,2021-05-09 20:42:00
Akira Presidente,Consequências,2863,2021-05-09 20:43:00
Família Madá,Cristal,2450,2021-05-09 20:44:00
Kayuá,Gigante da Norte,2518,2021-05-09 20:44:00
MOB79,Atleta do Ano - Remix,93678,2021-05-09 20:44:00
Murica,Coral e Cascavel,1758,2021-05-09 20:44:00
ABRONCA,Pras Bandidas,6058,2021-05-09 20:44:00
Emicida,Triunfo (A Rua É Nóiz),4098,2021-05-09 20:44:00
MV Bill,Estilo Vagabundo 1,848,2021-05-09 20:45:00
Rodrigo Ogi,Virou Canção,6339,2021-05-09 20:45:00
Don L,Eu Não Te Amo,172474,2021-05-09 20:47:00
Gabriel O Pensador,Cachimbo da Paz (feat. Lulu Santos),228484,2021-05-09 20:51:00
Rashid,Bilhete 2.0 (feat. Luccas Carlos),116215,2021-05-09 20:53:00
Wesley Safadão,"Ele É Ele, Eu Sou Eu",155209,2021-05-09 21:41:00
Mc Poze do Rodo,Vida Louca,155675,2021-05-09 21:43:00
Xand Avião,Não Pode Se Apaixonar,170000,2021-05-09 21:46:00
Israel & Rodolffo,Só de Sacanagem - Ao Vivo,183695,2021-05-09 21:49:00
Th CDM,Preta do Cabelo Cacheado,158531,2021-05-09 21:52:00
DJ Ivis,Esquema Preferido (feat. Tarcísio do Acordeon),150001,2021-05-09 21:54:00
Outkast,Ms. Jackson,270506,2021-05-10 20:32:00
Outkast,Roses,24334,2021-05-10 20:33:00
The Notorious B.I.G.,Hypnotize - 2014 Remaster,195727,2021-05-10 20:36:00
Ice Cube,It Was A Good Day,9073,2021-05-10 20:36:00
Joey Bada$$,Shine,2961,2021-05-10 20:41:00
Snoop Dogg,Drop It Like It's Hot,266066,2021-05-10 20:41:00
Dr. Dre,Forgot About Dre,1754,2021-05-10 20:41:00
Outkast,SpottieOttieDopaliscious,8543,2021-05-10 20:41:00
Fat Joe,Sunshine (The Light),2840,2021-05-10 20:41:00
Thundercat,Them Changes,2504,2021-05-10 20:42:00
Outkast,Ms. Jackson,3359,2021-05-10 20:42:00
Snoop Dogg,Gin N Juice (feat. Dat Nigga Daz),6638,2021-05-10 20:42:00
G-Unit,Smile,7463,2021-05-10 20:42:00
Joey Bada$$,Love Is Only a Feeling,4925,2021-05-10 20:42:00
Outkast,"So Fresh, So Clean",2310,2021-05-10 20:42:00
Nas,N.Y. State of Mind,6987,2021-05-10 20:42:00
Snoop Dogg,420 (Blaze Up),3899,2021-05-10 20:43:00
Outkast,Ms. Jackson,21865,2021-05-10 20:43:00
Nas,Nas Is Like,4392,2021-05-10 20:43:00
Outkast,The Way You Move (feat. Sleepy Brown),4762,2021-05-10 20:43:00
The Notorious B.I.G.,Juicy - 2005 Remaster,18048,2021-05-10 20:43:00
Devin The Dude,Doobie Ashtray,2564,2021-05-10 20:44:00
JAY-Z,99 Problems,6827,2021-05-10 20:44:00
Dr. Dre,Still D.R.E.,1355,2021-05-10 20:44:00
Outkast,B.O.B. - Bombs Over Baghdad,6170,2021-05-10 20:44:00
Outkast,Hey Ya!,5210,2021-05-10 20:44:00
